tokenName,description,image,Background,Body,Ear,Head,Mouth,Right Eye,Left Eye,Right Eyebrow,Left Eyebrow,Clothing,Jewelry,Headwear,Name,Generation
13,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/13.png,Yellow,Brown,Ear,Brown,Lip Bite Diamond,Emerald,Yellow,Fancy,Sinister,Tank Top LA,Nose Stud,,,1
14,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/14.png,Yellow,Purple,Ear,Brown,Snarl,Gold,Blue Squint,Moody,Sinister,Leather Jacket,,Bandana Blue,,1
15,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/15.png,Peach,Brown,Ear,Brown,Lip Bite Blue,Cotton Candy,Blue Squint,Moody,Snooty,Construction,,Afro,,1
16,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/16.png,Peach,Purple,Ear,Brown,Snarl Gold Grill,Rainbow,Glass,Moody,Sinister,Tuxedo,Nose Ring,Pablo Fitted Red,,1
17,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/17.png,Peach,Brown,Ear,Brown,Lip Bite,Gold,Yellow,Fancy,Sinister,Tuxedo White,,Bandana Blue,,1
18,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/18.png,Indigo,Brown,Ear,Brown,Moustache Rainbow,Jade,Blue Squint,Moody,Calm,,,Cowboy Hat,,1
19,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/19.png,Pink,Brown,Ear,Brown,Lip Bite Blue,Jade,Yellow,Fancy,Sinister,T-Shirt Blue Stripes,,,,1
20,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/20.png,Peach,Mosaic,Ear,Brown,Unbothered,Pacman,Purple Lazy,Fancy,Calm,Varsity Jacket Red,,Olive Branches,,1
21,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/21.png,Baby Blue,Brown,Ear,Brown,Unbothered,Pacman,Blue Squint,Moody,Sinister,Fur Coat Brown,,,,1
22,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/22.png,Green,Peach,Ear,Brown,Crazy Blue,Emerald,Yellow,Moody,Sinister,Tank Top LA,,,,1
23,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/23.png,Baby Blue,Purple,Ear,Brown,Snarl Blue,Cotton Candy,Purple Lazy,Tranquil,Sinister,Pablo des Gar�ons,,Party Hat,,1
24,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/24.png,Grey,Brown,Ear,Brown,Snarl Gold Grill,Gold,Glass,Tranquil,Calm,Pablo des Gar�ons,,Docker Beanie,,1
25,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/25.png,Green,Brown,Ear,Brown,Snarl Blue,Rainbow,Purple Lazy,Tranquil,Snooty,Hoodie,,,,1
26,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/26.png,Indigo,Peach,Ear,Brown,Lip Bite,Jade,Robot,Fancy,Sinister,Formal TieDye,,Pablo Fitted Green,,1
27,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/27.png,Yellow,Purple,Ear,Brown,Unbothered,Pacman,Purple Lazy,Tranquil,Sinister,Fur Coat Brown,,10 Gallon,,1
28,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/28.png,Green,Purple,Ear,Brown,Moustache White,Jade,Yellow,Tranquil,Calm,Tank Top NY,,Docker Beanie,,1
29,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/29.png,Grey,Peach,Ear,Brown,Lip Bite Gold Grill,Pacman,Purple Lazy,Fancy,Sinister,,,Afro,,1
30,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/30.png,Magenta,Brown,Ear,Brown,Crazy,Cotton Candy,Blue Squint,Tranquil,Calm,Tuxedo,Nose Stud,,,1
31,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/31.png,Peach,Brown,Ear,Brown,Unbothered Blue,Pacman,Blue Squint,Fancy,Calm,Pablo des Gar�ons,,Pablo Fitted Green,,1
32,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/32.png,Indigo,Purple,Ear,Brown,Lip Bite,Gold,Yellow,Fancy,Calm,Varsity Jacket Blue,,Ski Goggles,,1
33,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/33.png,Indigo,Brown,Ear,Brown,Moustache Rainbow,Pacman,Yellow,Tranquil,Snooty,T-Shirt Blue Stripes,,Afro,,1
34,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/34.png,Grey,Brown,Ear,Brown,Snarl,Jade,Blue Squint,Tranquil,Sinister,Hoodie Denim Jacket,,Fisherman Hat,,1
35,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/35.png,Peach,Purple,Ear,Brown,Unbothered Blue,Jade,Purple Lazy,Fancy,Calm,Russian Pablo T-Shirt,,Pablo Fitted Green,,1
36,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/36.png,Magenta,Brown,Ear,Brown,Snarl,Emerald,Purple Lazy,Fancy,Sinister,Formal Black Tie,,,,1
37,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/37.png,Yellow,Peach,Ear,Brown,Lip Bite Blue,Gold,Blue Squint,Fancy,Calm,,,Bowler Hat,,1
38,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/38.png,Green,Purple,Ear,Brown,Unbothered Blue,Jade,Blue Squint,Tranquil,Calm,Tuxedo,,Fez,,1
39,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/39.png,Baby Blue,Mosaic,Ear,Brown,Unbothered Blue,Rainbow,Yellow,Tranquil,Snooty,Tank Top LA,,,,1
40,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/40.png,Yellow,Purple,Ear,Brown,Lip Bite Blue,Jade,Yellow,Moody,Sinister,Varsity Jacket Red,,Lumberjack,,1
41,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/41.png,Baby Blue,Purple,Ear,Brown,Unbothered Blue,Jade,Glass,Fancy,Snooty,Leather Jacket,,Docker Beanie,,1
42,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/42.png,Pink,Brown,Ear,Brown,Lip Bite Diamond,Pacman,High,Fancy,Calm,Formal Black Tie,,Bandana Blue,,
43,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/43.png,Grey,Brown,Ear,Brown,Snarl Diamond,Cotton Candy,Purple Lazy,Fancy,Snooty,,,Fisherman Hat,,
44,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/44.png,Green,Brown,Ear,Brown,Unbothered Blue,Emerald,Yellow,Moody,Sinister,,,Afro,,
45,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/45.png,Pink,Peach,Ear,Brown,Snarl,Jade,Glass,Tranquil,Calm,,Earring,Pablo Fitted Green,,
46,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/46.png,Peach,Brown,Ear,Brown,Moustache White,Emerald,Purple Lazy,Moody,Calm,Tank Top LA,,Docker Beanie,,
47,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/47.png,Grey,Purple,Ear,Brown,Moustache Pink,Pacman,Yellow,Fancy,Snooty,Leather Jacket,,Fez,,
48,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/48.png,Magenta,Peach,Ear,Brown,Crazy,Pacman,Blue Squint,Moody,Calm,Formal TieDye,,Party Hat,,
49,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/49.png,Yellow,Brown,Ear,Brown,Moustache Rainbow,Gold,Purple Lazy,Fancy,Snooty,Russian Pablo T-Shirt,,Lumberjack,,
50,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/50.png,Grey,Brown,Ear,Brown,Snarl Gold Grill,Emerald,Purple Lazy,Moody,Sinister,Construction,,Afro,,
51,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/51.png,Baby Blue,Peach,Ear,Brown,Crazy,Jade,Yellow,Tranquil,Calm,Vacation Shirt Green,Earring,Bandana Blue,,
52,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/52.png,Baby Blue,Mosaic,Ear,Brown,Moustache Pink,Pacman,Purple Lazy,Moody,Calm,Flannel Brown,,Bandana Red,,
53,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/53.png,Baby Blue,Purple,Ear,Brown,Snarl,Gold,Purple Lazy,Tranquil,Sinister,Russian Pablo T-Shirt,,Bandana Red,,
54,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/54.png,Baby Blue,Peach,Ear,Brown,Crazy,Gold,Glass,Tranquil,Calm,Leather Jacket,,Captain Hat,,
55,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/55.png,Indigo,Peach,Ear,Brown,Crazy,Jade,Purple Lazy,Fancy,Snooty,Varsity Jacket Red,,Ski Goggles,,
56,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/56.png,Magenta,Peach,Ear,Brown,Lip Bite,Gold,Blue Squint,Tranquil,Sinister,T-Shirt Blue Stripes,,Bandana Blue,,
57,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/57.png,Peach,Peach,Ear,Brown,Snarl,Gold,Purple Lazy,Tranquil,Snooty,Russian Pablo T-Shirt,Earring,Fisherman Hat,,
58,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/58.png,Baby Blue,Purple,Ear,Brown,Unbothered Blue,Jade,Yellow,Tranquil,Calm,,Nose Ring,,,
59,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/59.png,Magenta,Brown,Ear,Brown,Snarl,Gold,Blue Squint,Moody,Snooty,Tuxedo,,Docker Beanie,,
60,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/60.png,Baby Blue,Brown,Ear,Brown,Moustache White,Jade,Yellow,Tranquil,Calm,Fur Coat Brown,,Afro,,
61,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/61.png,Baby Blue,Peach,Ear,Brown,Crazy,Jade,Glass,Tranquil,Snooty,Hoodie Denim Jacket,,Olive Branches,,
62,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/62.png,Peach,Brown,Ear,Brown,Unbothered,Jade,Blue Squint,Tranquil,Sinister,Formal Black Tie,Nose Ring,,,
63,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/63.png,Pink,Purple,Ear,Brown,Snarl Blue,Gold,Blue Squint,Tranquil,Sinister,Vacation Shirt Red,,Fez,,
64,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/64.png,Magenta,Brown,Ear,Brown,Crazy Diamond,Cotton Candy,Blue Squint,Moody,Snooty,,,Fez,,
65,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/65.png,Indigo,Peach,Ear,Brown,Crazy Blue,Cotton Candy,Yellow,Fancy,Sinister,Pablo des Gar�ons,,Captain Hat,,
66,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/66.png,Grey,Purple,Ear,Brown,Crazy Blue,Cotton Candy,Blue Squint,Tranquil,Sinister,,,,,
67,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/67.png,Peach,Brown,Ear,Brown,Crazy Gold Grill,Pacman,Blue Squint,Fancy,Sinister,,,Pablo Fitted Green,,
68,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/68.png,Grey,Peach,Ear,Brown,Snarl Diamond,Cotton Candy,Yellow,Fancy,Sinister,,,Party Hat,,
69,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/69.png,Green,Brown,Ear,Brown,Moustache Pink,Gold,Glass,Moody,Calm,Hippie Vest,,Kings Crown,,
70,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/70.png,Indigo,Brown,Ear,Brown,Moustache White,Pacman,Glass,Fancy,Snooty,Formal Black Tie,Nose Ring,,,
71,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/71.png,Peach,Purple,Ear,Brown,Unbothered,Gold,Purple Lazy,Tranquil,Snooty,Construction,Nose Stud,,,
72,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/72.png,Green,Brown,Ear,Brown,Snarl Gold Grill,Jade,Yellow,Tranquil,Calm,Varsity Jacket Green,,,,
73,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/73.png,Peach,Brown,Ear,Brown,Moustache Pink,Emerald,Purple Lazy,Fancy,Calm,Turtleneck,Nose Stud,Bandana Red,,
74,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/74.png,Baby Blue,Peach,Ear,Brown,Crazy Blue,Jade,Purple Lazy,Tranquil,Calm,Varsity Jacket Blue,,Afro,,
75,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/75.png,Yellow,Brown,Ear,Brown,Lip Bite Blue,Pacman,Yellow,Tranquil,Snooty,,,Straw Hat,,
76,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/76.png,Grey,Brown,Ear,Brown,Crazy Blue,Jade,Robot,Tranquil,Snooty,T-Shirt Blue Stripes,Nose Ring,Kings Crown,,
77,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/77.png,Indigo,Peach,Ear,Brown,Lip Bite Diamond,Jade,Robot,Fancy,Snooty,Pablo des Gar�ons,Earring,,,
78,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/78.png,Baby Blue,Brown,Ear,Brown,Unbothered,Jade,Purple Lazy,Fancy,Calm,Leather Jacket,,Party Hat,,
79,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/79.png,Baby Blue,Peach,Ear,Brown,Crazy Gold Grill,Gold,Yellow,Tranquil,Sinister,Tank Top NY,,Party Hat,,
80,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/80.png,Peach,Peach,Ear,Brown,Snarl Blue,Rainbow,Yellow,Moody,Sinister,Construction,,Lumberjack,,
81,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/81.png,Baby Blue,Purple,Ear,Brown,Crazy,Cotton Candy,Blue Squint,Moody,Calm,Formal TieDye,Nose Ring,,,
82,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/82.png,Indigo,Purple,Ear,Brown,Lip Bite Diamond,Emerald,Purple Lazy,Moody,Snooty,T-Shirt Blue Stripes,Earring,,,
83,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/83.png,Yellow,Brown,Ear,Brown,Moustache Pink,Cotton Candy,Yellow,Tranquil,Snooty,Fur Coat Brown,,Bowler Hat,,
84,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/84.png,Indigo,Brown,Ear,Brown,Moustache White,Cotton Candy,Yellow,Moody,Snooty,Vacation Shirt Red,,Afro,,
85,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/85.png,Pink,Peach,Ear,Brown,Crazy,Pacman,Yellow,Tranquil,Calm,Vacation Shirt Red,Earring,Afro,,
86,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/86.png,Baby Blue,Purple,Ear,Brown,Moustache Rainbow,Jade,High,Fancy,Sinister,Tank Top LA,,Captain Hat,,
87,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/87.png,Green,Peach,Ear,Brown,Crazy,Emerald,Robot,Tranquil,Calm,Tuxedo,Nose Ring,,,
88,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/88.png,Yellow,Purple,Ear,Brown,Crazy,Cotton Candy,Blue Squint,Moody,Sinister,Puffer Jacket,,Docker Beanie,,
89,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/89.png,Green,Mosaic,Ear,Brown,Crazy,Gold,Blue Squint,Moody,Calm,Hippie Vest,,,,
